proof,compressed?,length,resOnlyLength,compressedLengthAll,compressedLengthResOnly,compressTime,compressRatio,compressSpeed,compressRatioRes,compressSpeedRes,numFOSub
SWV\SWV310-2.spass,1,5,2,5,2,15395024,0.0,0.0,0.0,0.0,0
SET\SET846-2.spass,1,9,4,9,4,2198083,0.0,0.0,0.0,0.0,0
SYN\SYN339-1.spass,1,3,1,3,1,329474,0.0,0.0,0.0,0.0,0
SWV\SWV269-2.spass,1,5,2,5,2,642805,0.0,0.0,0.0,0.0,0
SYN\SYN065-1.spass,1,7,3,7,3,780392,0.0,0.0,0.0,0.0,0
SWV\SWV011-1.spass,1,5,2,5,2,417162,0.0,0.0,0.0,0.0,0
SWV\SWV239-2.spass,1,12,5,12,5,2699999,0.0,0.0,0.0,0.0,0
LAT\LAT270-2.spass,1,9,4,9,4,916877,0.0,0.0,0.0,0.0,0
SYN\SYN666-1.spass,1,14,7,14,7,1493640,0.0,0.0,0.0,0.0,0
SYN\SYN679-1.spass,1,14,7,14,7,1315695,0.0,0.0,0.0,0.0,0
SYN\SYN664-1.spass,1,14,7,14,7,2329066,0.0,0.0,0.0,0.0,0
GRP\GRP028-3.spass,0,8,4,-1,-1,-1,-1,-1,-1,-1,-1
CSR\CSR058+1.spass,1,5,2,5,2,110803,0.0,0.0,0.0,0.0,0
SYN\SYN636-1.spass,0,23,14,-1,-1,-1,-1,-1,-1,-1,-1
SYN\SYN621-1.spass,1,12,5,12,5,211699,0.0,0.0,0.0,0.0,0
SET\SET830-2.spass,1,23,11,23,11,275907,0.0,0.0,0.0,0.0,0
SYN\SYN336-1.spass,1,3,1,3,1,52833,0.0,0.0,0.0,0.0,0
SWV\SWV266-2.spass,1,5,2,5,2,66775,0.0,0.0,0.0,0.0,0
SYN\SYN066-1.spass,1,8,4,8,4,6589848,0.0,0.0,0.0,0.0,0
SYN\SYN079-1.spass,1,7,3,7,3,79250,0.0,0.0,0.0,0.0,0
SYN\SYN064-1.spass,1,3,1,3,1,46963,0.0,0.0,0.0,0.0,0
KRS\KRS017-1.spass,1,9,4,10,3,25204399,-0.1111111111111111,-3.967561376885043E-8,0.1111111111111111,3.967561376885043E-8,2
GRP\GRP028-4.spass,0,8,4,-1,-1,-1,-1,-1,-1,-1,-1
MGT\MGT008-1.spass,1,37,20,48,16,89568514,-0.2972972972972973,-1.228110137006404E-7,0.10810810810810811,4.46585504365965E-8,14
CSR\CSR070+1.spass,1,17,8,17,8,211333,0.0,0.0,0.0,0.0,0
MGT\MGT006-1.spass,0,45,26,-1,-1,-1,-1,-1,-1,-1,-1
SYN\SYN663-1.spass,1,14,7,14,7,127314,0.0,0.0,0.0,0.0,0
SYN\SYN661-1.spass,1,14,7,14,7,201427,0.0,0.0,0.0,0.0,0
SYN\SYN620-1.spass,1,15,7,15,7,150428,0.0,0.0,0.0,0.0,0
ANA\ANA042-2.spass,1,3,1,3,1,58704,0.0,0.0,0.0,0.0,0
SYN\SYN562-1.spass,1,12,6,16,5,6162412,-0.3333333333333333,-6.490964901405488E-7,0.08333333333333333,1.622741225351372E-7,4
SWV\SWV291-2.spass,1,23,11,23,11,566857,0.0,0.0,0.0,0.0,0
COL\COL110-2.spass,1,18,8,18,8,279576,0.0,0.0,0.0,0.0,0
COL\COL123-2.spass,1,19,8,19,8,358092,0.0,0.0,0.0,0.0,0
COM\COM001-1.spass,1,13,6,13,6,108235,0.0,0.0,0.0,0.0,0
SEU\SEU158+3.spass,1,9,3,9,3,257562,0.0,0.0,0.0,0.0,0
SEU\SEU158+1.spass,1,9,3,9,3,73746,0.0,0.0,0.0,0.0,0
SWV\SWV309-2.spass,1,5,2,5,2,157399,0.0,0.0,0.0,0.0,0
ANA\ANA041-2.spass,1,3,1,3,1,54668,0.0,0.0,0.0,0.0,0
SYN\SYN561-1.spass,1,20,12,33,12,23827065,-0.65,-5.455980415548453E-7,0.0,0.0,13
SYN\SYN648-1.spass,1,15,7,19,6,47568276,-0.26666666666666666,-8.40896567283624E-8,0.06666666666666667,2.10224141820906E-8,4
SWV\SWV334-2.spass,1,3,1,3,1,44028,0.0,0.0,0.0,0.0,0
SYN\SYN618-1.spass,1,23,12,34,12,8655115,-0.4782608695652174,-1.270924765297746E-6,0.0,0.0,11
SYN\SYN346-1.spass,1,4,2,4,1,1522625,0.0,0.0,0.25,6.567605286922256E-7,0
SET\SET827-2.spass,1,7,3,7,3,66775,0.0,0.0,0.0,0.0,0
PUZ\PUZ047+1.spass,1,16,8,16,8,151528,0.0,0.0,0.0,0.0,0
SET\SET009+3.spass,1,25,13,25,13,232246,0.0,0.0,0.0,0.0,0
PUZ\PUZ035-6.spass,1,9,6,9,6,556584,0.0,0.0,0.0,0.0,0
SWV\SWV331-2.spass,1,12,6,16,5,5834406,-0.3333333333333333,-6.855882158355109E-7,0.08333333333333333,1.7139705395887774E-7,4
CSR\CSR035+1.spass,1,5,2,5,2,44395,0.0,0.0,0.0,0.0,0
SYN\SYN345-1.spass,1,20,7,21,6,9042559,-0.05,-1.1058816425748508E-7,0.05,1.1058816425748508E-7,4
SET\SET852-2.spass,1,13,5,13,5,358826,0.0,0.0,0.0,0.0,0
SET\SET850-2.spass,1,7,3,7,3,114839,0.0,0.0,0.0,0.0,0
SET\SET824-2.spass,0,4,2,-1,-1,-1,-1,-1,-1,-1,-1
SYN\SYN343-1.spass,1,5,1,5,1,67509,0.0,0.0,0.0,0.0,0
SYN\SYN073-1.spass,1,4,2,4,2,3942682,0.0,0.0,0.0,0.0,0
SWV\SWV247-2.spass,1,38,26,56,23,41004111,-0.47368421052631576,-4.389803744312369E-7,0.07894736842105263,7.316339573853948E-8,19
SWV\SWV288-2.spass,1,17,8,17,8,217571,0.0,0.0,0.0,0.0,0
SWV\SWV245-2.spass,1,19,11,26,10,9316632,-0.3684210526315789,-7.513444772746202E-7,0.05263157894736842,1.0733492532494575E-7,7
MGT\MGT015-1.spass,0,42,23,-1,-1,-1,-1,-1,-1,-1,-1
SYN\SYN670-1.spass,1,14,7,14,7,191520,0.0,0.0,0.0,0.0,0
SWB\SWB012+2.spass,1,41,22,54,20,21353808,-0.3170731707317073,-6.087907131130897E-7,0.04878048780487805,9.366010970970611E-8,14
SYN\SYN586-1.spass,1,14,7,14,7,295720,0.0,0.0,0.0,0.0,0
TOP\TOP001-2.spass,1,33,16,33,16,296087,0.0,0.0,0.0,0.0,0
SWV\SWV272-2.spass,1,18,9,18,9,724989,0.0,0.0,0.0,0.0,0
GRP\GRP001+6.spass,1,26,16,36,15,30182466,-0.38461538461538464,-3.31318189839094E-7,0.038461538461538464,3.31318189839094E-8,10
GRP\GRP004-1.spass,1,12,7,17,7,31336725,-0.4166666666666667,-1.59557196867254E-7,0.0,0.0,5
SWV\SWV011+1.spass,1,5,2,5,2,75214,0.0,0.0,0.0,0.0,0
COL\COL102-2.spass,1,11,5,11,5,275540,0.0,0.0,0.0,0.0,0
SEU\SEU167+3.spass,1,11,5,11,5,104566,0.0,0.0,0.0,0.0,0
SYN\SYN583-1.spass,1,18,9,25,9,8014878,-0.3888888888888889,-8.733757394685234E-7,0.0,0.0,7
SYN\SYN581-1.spass,1,18,9,25,9,9993191,-0.3888888888888889,-7.004769547584951E-7,0.0,0.0,7
GRP\GRP003-1.spass,1,15,10,22,9,11826210,-0.4666666666666667,-5.919056062762288E-7,0.06666666666666667,8.455794375374697E-8,7
MGT\MGT036+1.spass,1,34,21,45,14,49418541,-0.3235294117647059,-2.2258852198813396E-7,0.20588235294117646,1.4164724126517616E-7,18
SWV\SWV358-2.spass,1,15,8,15,8,137953,0.0,0.0,0.0,0.0,0
SWV\SWV356-2.spass,1,7,3,7,3,57603,0.0,0.0,0.0,0.0,0
SWV\SWV341-2.spass,1,7,3,7,3,61272,0.0,0.0,0.0,0.0,0
SWV\SWV315-2.spass,1,24,10,24,10,211700,0.0,0.0,0.0,0.0,0
SWV\SWV313-2.spass,1,15,7,15,7,150795,0.0,0.0,0.0,0.0,0
SET\SET834-2.spass,1,23,11,23,11,212800,0.0,0.0,0.0,0.0,0
SYN\SYN325-1.spass,1,6,3,6,3,1313494,0.0,0.0,0.0,0.0,0
SET\SET819-2.spass,1,3,1,3,1,27518,0.0,0.0,0.0,0.0,0
LAT\LAT273-2.spass,1,16,9,18,6,6271014,-0.125,-3.1892768856838784E-7,0.1875,4.783915328525817E-7,4
SYN\SYN667-1.spass,1,14,7,14,7,92825,0.0,0.0,0.0,0.0,0
SWV\SWV355-2.spass,1,15,8,15,8,130982,0.0,0.0,0.0,0.0,0
CSR\CSR046+1.spass,1,3,1,3,1,22014,0.0,0.0,0.0,0.0,0
SYN\SYN622-1.spass,1,14,7,14,7,117407,0.0,0.0,0.0,0.0,0
SET\SET833-2.spass,1,7,3,7,3,52466,0.0,0.0,0.0,0.0,0
LCL\LCL429-2.spass,1,17,9,17,9,1247452,0.0,0.0,0.0,0.0,0
COL\COL114-2.spass,1,5,2,5,2,103465,0.0,0.0,0.0,0.0,0
SET\SET046-5.spass,1,11,5,11,4,41632607,0.0,0.0,0.09090909090909091,2.4019634417801412E-8,1
SWV\SWV267-2.spass,1,7,3,7,3,105300,0.0,0.0,0.0,0.0,0
COL\COL112-2.spass,1,5,2,5,2,74480,0.0,0.0,0.0,0.0,0
MGT\MGT009-1.spass,0,37,19,-1,-1,-1,-1,-1,-1,-1,-1
LCL\LCL441-2.spass,1,7,4,7,4,228210,0.0,0.0,0.0,0.0,0
COL\COL113-2.spass,1,3,1,3,1,30819,0.0,0.0,0.0,0.0,0
COL\COL111-2.spass,1,5,2,5,2,50632,0.0,0.0,0.0,0.0,0
MGT\MGT036-1.spass,0,26,15,-1,-1,-1,-1,-1,-1,-1,-1
SET\SET786-1.spass,1,11,5,12,4,3466816,-0.09090909090909091,-2.884491129612878E-7,0.09090909090909091,2.884491129612878E-7,2
LCL\LCL440-2.spass,1,3,1,3,1,38892,0.0,0.0,0.0,0.0,0
SWV\SWV336-2.spass,1,3,1,3,1,53567,0.0,0.0,0.0,0.0,0
SWV\SWV308-2.spass,1,40,21,53,20,101112947,-0.325,-1.2856909412401956E-7,0.025,9.889930317232274E-9,15
