proof,compressed?,length,resOnlyLength,compressedLengthAll,compressedLengthResOnly,compressTime,compressRatio,compressSpeed,compressRatioRes,compressSpeedRes,numFOSub,compressedNoSub,cumulativeLength,cumulativeLengthCompressed
SYN\SYN339-1.spass,1,3,1,3,1,329474,0,0,0,0,0,3,3,3
SYN\SYN336-1.spass,1,3,1,3,1,52833,0,0,0,0,0,3,6,6
SYN\SYN064-1.spass,1,3,1,3,1,46963,0,0,0,0,0,3,9,9
ANA\ANA042-2.spass,1,3,1,3,1,58704,0,0,0,0,0,3,12,12
ANA\ANA041-2.spass,1,3,1,3,1,54668,0,0,0,0,0,3,15,15
SWV\SWV334-2.spass,1,3,1,3,1,44028,0,0,0,0,0,3,18,18
SET\SET819-2.spass,1,3,1,3,1,27518,0,0,0,0,0,3,21,21
CSR\CSR046+1.spass,1,3,1,3,1,22014,0,0,0,0,0,3,24,24
COL\COL113-2.spass,1,3,1,3,1,30819,0,0,0,0,0,3,27,27
LCL\LCL440-2.spass,1,3,1,3,1,38892,0,0,0,0,0,3,30,30
SWV\SWV336-2.spass,1,3,1,3,1,53567,0,0,0,0,0,3,33,33
CSR\CSR072+1.spass,1,3,1,3,1,21647,0,0,0,0,0,3,36,36
SYN\SYN048-1.spass,1,3,1,3,1,23114,0,0,0,0,0,3,39,39
SWB\SWB003+2.spass,1,3,1,3,1,25683,0,0,0,0,0,3,42,42
SWV\SWV330-2.spass,1,3,1,3,1,38158,0,0,0,0,0,3,45,45
COL\COL116-2.spass,1,3,1,3,1,35589,0,0,0,0,0,3,48,48
COL\COL101-2.spass,1,3,1,3,1,38158,0,0,0,0,0,3,51,51
SET\SET818-2.spass,1,3,1,3,1,34855,0,0,0,0,0,3,54,54
SYN\SYN338-1.spass,1,3,1,3,1,27150,0,0,0,0,0,3,57,57
TOP\TOP004-2.spass,1,3,1,3,1,26050,0,0,0,0,0,3,60,60
SWV\SWV349-2.spass,1,3,1,3,1,41093,0,0,0,0,0,3,63,63
SYN\SYN731-1.spass,1,3,1,3,1,26784,0,0,0,0,0,3,66,66
SWV\SWV333-2.spass,1,3,1,3,1,30452,0,0,0,0,0,3,69,69
SYN\SYN340-1.spass,1,3,1,3,1,29719,0,0,0,0,0,3,72,72
SYN\SYN341-1.spass,1,3,1,3,1,27884,0,0,0,0,0,3,75,75
COL\COL103-2.spass,1,3,1,3,1,40725,0,0,0,0,0,3,78,78
SET\SET824-2.spass,0,4,2,-1,-1,-1,-1,-1,-1,-1,-1,0,82,78
SYN\SYN346-1.spass,1,4,2,4,1,1522625,0,0,0.25,6.57E-07,0,4,86,82
SYN\SYN073-1.spass,1,4,2,4,2,3942682,0,0,0,0,0,4,90,86
