proof,compressed?,length,resOnlyLength,compressedLengthAll,compressedLengthResOnly,compressTime,compressRatio,compressSpeed,compressRatioRes,compressSpeedRes,cumulativeLengthRes,cumulativeCompressedLengthRes
SYN\SYN339-1.spass,1,3,1,3,1,315165,0,0,0,0,1,1
SYN\SYN336-1.spass,1,3,1,3,1,49532,0,0,0,0,2,2
SYN\SYN064-1.spass,1,3,1,3,1,46963,0,0,0,0,3,3
ANA\ANA042-2.spass,1,3,1,3,1,55402,0,0,0,0,4,4
ANA\ANA041-2.spass,1,3,1,3,1,77783,0,0,0,0,5,5
SWV\SWV334-2.spass,1,3,1,3,1,51365,0,0,0,0,6,6
SET\SET819-2.spass,1,3,1,3,1,27517,0,0,0,0,7,7
CSR\CSR046+1.spass,1,3,1,3,1,21647,0,0,0,0,8,8
COL\COL113-2.spass,1,3,1,3,1,31920,0,0,0,0,9,9
LCL\LCL440-2.spass,1,3,1,3,1,41460,0,0,0,0,10,10
SWV\SWV336-2.spass,1,3,1,3,1,55768,0,0,0,0,11,11
CSR\CSR072+1.spass,1,3,1,3,1,22014,0,0,0,0,12,12
SYN\SYN048-1.spass,1,3,1,3,1,41092,0,0,0,0,13,13
SWB\SWB003+2.spass,1,3,1,3,1,29719,0,0,0,0,14,14
SWV\SWV330-2.spass,1,3,1,3,1,44395,0,0,0,0,15,15
COL\COL116-2.spass,1,3,1,3,1,34488,0,0,0,0,16,16
COL\COL101-2.spass,1,3,1,3,1,37057,0,0,0,0,17,17
SET\SET818-2.spass,1,3,1,3,1,53200,0,0,0,0,18,18
SYN\SYN338-1.spass,1,3,1,3,1,38524,0,0,0,0,19,19
TOP\TOP004-2.spass,1,3,1,3,1,26417,0,0,0,0,20,20
SWV\SWV349-2.spass,1,3,1,3,1,38891,0,0,0,0,21,21
SYN\SYN731-1.spass,1,3,1,3,1,26416,0,0,0,0,22,22
SWV\SWV333-2.spass,1,3,1,3,1,30820,0,0,0,0,23,23
SYN\SYN340-1.spass,1,3,1,3,1,28251,0,0,0,0,24,24
SYN\SYN341-1.spass,1,3,1,3,1,29352,0,0,0,0,25,25
COL\COL103-2.spass,1,3,1,3,1,40359,0,0,0,0,26,26
SYN\SYN343-1.spass,1,5,1,5,1,45128,0,0,0,0,27,27
SYN\SYN346-1.spass,1,4,2,4,1,1913738,0,0,0.25,5.23E-07,29,28
SYN\SYN073-1.spass,1,4,2,4,2,2166897,0,0,0,0,31,30
SYN\SYN370+1.spass,1,4,2,4,2,1313126,0,0,0,0,33,32
SYN\SYN730+1.spass,1,4,2,4,2,1182877,0,0,0,0,35,34
SWV\SWV310-2.spass,1,5,2,5,2,10970973,0,0,0,0,37,36
SWV\SWV269-2.spass,1,5,2,5,2,613086,0,0,0,0,39,38
SWV\SWV011-1.spass,1,5,2,5,2,1718915,0,0,0,0,41,40
CSR\CSR058+1.spass,1,5,2,5,2,185283,0,0,0,0,43,42
SWV\SWV266-2.spass,1,5,2,5,2,71545,0,0,0,0,45,44
SWV\SWV309-2.spass,1,5,2,5,2,175010,0,0,0,0,47,46
CSR\CSR035+1.spass,1,5,2,5,2,45129,0,0,0,0,49,48
SWV\SWV011+1.spass,1,5,2,5,2,85120,0,0,0,0,51,50
COL\COL114-2.spass,1,5,2,5,2,58337,0,0,0,0,53,52
COL\COL112-2.spass,1,5,2,5,2,99429,0,0,0,0,55,54
COL\COL111-2.spass,1,5,2,5,2,52467,0,0,0,0,57,56
LCL\LCL435-2.spass,1,5,2,5,2,60171,0,0,0,0,59,58
COL\COL120-2.spass,1,5,2,5,2,58337,0,0,0,0,61,60
TOP\TOP002-2.spass,1,5,2,5,2,49532,0,0,0,0,63,62
COL\COL105-2.spass,1,5,2,5,2,78150,0,0,0,0,65,64
SYN\SYN727-1.spass,1,5,2,5,2,43294,0,0,0,0,67,66
SWV\SWV257-2.spass,1,5,2,5,2,42560,0,0,0,0,69,68
COL\COL115-2.spass,1,5,2,5,2,71179,0,0,0,0,71,70
SET\SET915+1.spass,1,5,2,5,2,37056,0,0,0,0,73,72
SET\SET913+1.spass,1,5,2,5,2,43294,0,0,0,0,75,74
SWV\SWV280-2.spass,1,5,2,5,2,51366,0,0,0,0,77,76
CSR\CSR054+1.spass,1,5,2,5,2,66776,0,0,0,0,79,78
