proof,compressed?,length,resOnlyLength,compressedLengthAll,compressedLengthResOnly,compressTime,compressRatio,compressSpeed,compressRatioRes,compressSpeedRes,numFOSub,totalTime
SWV\SWV310-2.spass,1,5,2,5,2,50144280,0.0,0.0,0.0,0.0,0,448109876
SET\SET846-2.spass,1,9,4,9,4,21476987,0.0,0.0,0.0,0.0,0,64062607
SYN\SYN339-1.spass,1,3,1,3,1,1008946,0.0,0.0,0.0,0.0,0,11238564
SWV\SWV269-2.spass,1,5,2,5,2,4200520,0.0,0.0,0.0,0.0,0,18985807
SYN\SYN065-1.spass,1,7,3,7,3,10407926,0.0,0.0,0.0,0.0,0,32750407
SWV\SWV011-1.spass,1,5,2,5,2,1958824,0.0,0.0,0.0,0.0,0,15186298
SWV\SWV239-2.spass,1,12,5,12,5,21193382,0.0,0.0,0.0,0.0,0,76439629
LAT\LAT270-2.spass,1,9,4,9,4,8359215,0.0,0.0,0.0,0.0,0,23082864
SYN\SYN666-1.spass,1,14,7,14,7,35260666,0.0,0.0,0.0,0.0,0,58011495
SYN\SYN679-1.spass,1,14,7,14,7,19392687,0.0,0.0,0.0,0.0,0,50761388
SYN\SYN664-1.spass,1,14,7,14,7,21624111,0.0,0.0,0.0,0.0,0,28003588
GRP\GRP028-3.spass,0,8,4,-1,-1,-1,-1,-1,-1,-1,-1,-1
CSR\CSR058+1.spass,1,5,2,5,2,700026,0.0,0.0,0.0,0.0,0,5651202
SYN\SYN636-1.spass,0,23,14,-1,-1,-1,-1,-1,-1,-1,-1,-1
SYN\SYN621-1.spass,1,12,5,12,5,4743149,0.0,0.0,0.0,0.0,0,19079730
SET\SET830-2.spass,1,23,11,23,11,10472499,0.0,0.0,0.0,0.0,0,26778544
SYN\SYN336-1.spass,1,3,1,3,1,153360,0.0,0.0,0.0,0.0,0,1204132
SWV\SWV266-2.spass,1,5,2,5,2,483561,0.0,0.0,0.0,0.0,0,2228488
SYN\SYN066-1.spass,1,8,4,8,4,7244604,0.0,0.0,0.0,0.0,0,4593092
SYN\SYN079-1.spass,1,7,3,7,3,2803771,0.0,0.0,0.0,0.0,0,5859228
SYN\SYN064-1.spass,1,3,1,3,1,187481,0.0,0.0,0.0,0.0,0,1897186
KRS\KRS017-1.spass,1,9,4,10,3,8722435,-0.1111111111111111,-1.1464688472886298E-7,0.1111111111111111,1.1464688472886298E-7,2,5303390
GRP\GRP028-4.spass,0,8,4,-1,-1,-1,-1,-1,-1,-1,-1,-1
MGT\MGT008-1.spass,1,37,20,48,16,129250463,-0.2972972972972973,-8.510607811130239E-8,0.10810810810810811,3.094766476774633E-8,14,95611083
CSR\CSR070+1.spass,1,17,8,17,8,6690967,0.0,0.0,0.0,0.0,0,12374455
MGT\MGT006-1.spass,0,45,26,-1,-1,-1,-1,-1,-1,-1,-1,-1
SYN\SYN663-1.spass,1,14,7,14,7,4857986,0.0,0.0,0.0,0.0,0,7969578
SYN\SYN661-1.spass,1,14,7,14,7,4878165,0.0,0.0,0.0,0.0,0,7105186
SYN\SYN620-1.spass,1,15,7,15,7,4097057,0.0,0.0,0.0,0.0,0,8875062
ANA\ANA042-2.spass,1,3,1,3,1,188581,0.0,0.0,0.0,0.0,0,1847656
SYN\SYN562-1.spass,1,12,6,16,5,8984394,-0.3333333333333333,-4.4521644976834273E-7,0.08333333333333333,1.1130411244208568E-7,4,7467673
SWV\SWV291-2.spass,1,23,11,23,11,8834337,0.0,0.0,0.0,0.0,0,29452436
COL\COL110-2.spass,1,18,8,18,8,6679961,0.0,0.0,0.0,0.0,0,24189403
COL\COL123-2.spass,1,19,8,19,8,6907432,0.0,0.0,0.0,0.0,0,29350073
