proof,compressed?,length,resOnlyLength,compressedLengthAll,compressedLengthResOnly,compressTime,compressRatio,compressSpeed,compressRatioRes,compressSpeedRes,numFOSub,totalTime
SWV\SWV310-2.spass,1,5,2,5,2,50211421,0.0,0.0,0.0,0.0,0,450811652
SET\SET846-2.spass,1,9,4,9,4,21392603,0.0,0.0,0.0,0.0,0,71773159
SYN\SYN339-1.spass,1,3,1,3,1,1010048,0.0,0.0,0.0,0.0,0,11137303
SWV\SWV269-2.spass,1,5,2,5,2,3540118,0.0,0.0,0.0,0.0,0,16346769
SYN\SYN065-1.spass,1,7,3,7,3,10768212,0.0,0.0,0.0,0.0,0,34421222
SWV\SWV011-1.spass,1,5,2,5,2,2026698,0.0,0.0,0.0,0.0,0,15422574
SWV\SWV239-2.spass,1,12,5,12,5,21161463,0.0,0.0,0.0,0.0,0,77479761
LAT\LAT270-2.spass,1,9,4,9,4,8247680,0.0,0.0,0.0,0.0,0,22505747
SYN\SYN666-1.spass,1,14,7,14,7,50568403,0.0,0.0,0.0,0.0,0,54828727
SYN\SYN679-1.spass,1,14,7,14,7,23462228,0.0,0.0,0.0,0.0,0,38266593
SYN\SYN664-1.spass,1,14,7,14,7,28729296,0.0,0.0,0.0,0.0,0,38402709
GRP\GRP028-3.spass,0,8,4,-1,-1,-1,-1,-1,-1,-1,-1,-1
CSR\CSR058+1.spass,1,5,2,5,2,1117546,0.0,0.0,0.0,0.0,0,8425988
SYN\SYN636-1.spass,0,23,14,-1,-1,-1,-1,-1,-1,-1,-1,-1
SYN\SYN621-1.spass,1,12,5,12,5,9161969,0.0,0.0,0.0,0.0,0,17323063
SET\SET830-2.spass,1,23,11,23,11,10686763,0.0,0.0,0.0,0.0,0,21965685
SYN\SYN336-1.spass,1,3,1,3,1,179409,0.0,0.0,0.0,0.0,0,1229814
SWV\SWV266-2.spass,1,5,2,5,2,908786,0.0,0.0,0.0,0.0,0,3513703
SYN\SYN066-1.spass,1,8,4,8,4,7649650,0.0,0.0,0.0,0.0,0,5159937
SYN\SYN079-1.spass,1,7,3,7,3,1919934,0.0,0.0,0.0,0.0,0,4186578
SYN\SYN064-1.spass,1,3,1,3,1,157396,0.0,0.0,0.0,0.0,0,1301358
KRS\KRS017-1.spass,1,9,4,10,3,8575312,-0.1111111111111111,-1.1661383282614091E-7,0.1111111111111111,1.1661383282614091E-7,2,5047668
GRP\GRP028-4.spass,0,8,4,-1,-1,-1,-1,-1,-1,-1,-1,-1
MGT\MGT008-1.spass,1,37,20,48,16,146900791,-0.2972972972972973,-7.488046813852759E-8,0.10810810810810811,2.722926114128276E-8,14,100454760
CSR\CSR070+1.spass,1,17,8,17,8,6339120,0.0,0.0,0.0,0.0,0,12385461
MGT\MGT006-1.spass,0,45,26,-1,-1,-1,-1,-1,-1,-1,-1,-1
SYN\SYN663-1.spass,1,14,7,14,7,5107838,0.0,0.0,0.0,0.0,0,9445941
SYN\SYN661-1.spass,1,14,7,14,7,5207265,0.0,0.0,0.0,0.0,0,7721560
SYN\SYN620-1.spass,1,15,7,15,7,4073209,0.0,0.0,0.0,0.0,0,9411087
