proof,compressed?,length,resOnlyLength,compressedLengthAll,compressedLengthResOnly,compressTime,compressRatio,compressSpeed,compressRatioRes,compressSpeedRes,numFOSub,totalTime
SWV\SWV310-2.spass,1,5,2,5,2,57878681,0.0,0.0,0.0,0.0,0,492898300
SET\SET846-2.spass,1,9,4,9,4,27976806,0.0,0.0,0.0,0.0,0,73413523
SYN\SYN339-1.spass,1,3,1,3,1,1899021,0.0,0.0,0.0,0.0,0,11756246
SWV\SWV269-2.spass,1,5,2,5,2,5503345,0.0,0.0,0.0,0.0,0,24306074
SYN\SYN065-1.spass,1,7,3,7,3,8276298,0.0,0.0,0.0,0.0,0,36116620
SWV\SWV011-1.spass,1,5,2,5,2,5694862,0.0,0.0,0.0,0.0,0,20995262
SWV\SWV239-2.spass,1,12,5,12,5,28376715,0.0,0.0,0.0,0.0,0,97949637
LAT\LAT270-2.spass,1,9,4,9,4,12904611,0.0,0.0,0.0,0.0,0,22086391
SYN\SYN666-1.spass,1,14,7,14,7,59484556,0.0,0.0,0.0,0.0,0,66953697
SYN\SYN679-1.spass,1,14,7,14,7,24358906,0.0,0.0,0.0,0.0,0,37579408
SYN\SYN664-1.spass,1,14,7,14,7,36367939,0.0,0.0,0.0,0.0,0,43742788
GRP\GRP028-3.spass,1,8,4,8,4,31715778,0.0,0.0,0.0,0.0,0,34154494
CSR\CSR058+1.spass,1,5,2,5,2,4290408,0.0,0.0,0.0,0.0,0,9029888
SYN\SYN636-1.spass,1,23,14,23,14,101205049,0.0,0.0,0.0,0.0,0,106723804
SYN\SYN621-1.spass,1,12,5,12,5,18632859,0.0,0.0,0.0,0.0,0,65020188
SET\SET830-2.spass,1,23,11,23,11,39599136,0.0,0.0,0.0,0.0,0,71379487
SYN\SYN336-1.spass,1,3,1,3,1,952445,0.0,0.0,0.0,0.0,0,1773544
SWV\SWV266-2.spass,1,5,2,5,2,2379647,0.0,0.0,0.0,0.0,0,4773235
SYN\SYN066-1.spass,1,8,4,8,4,5258262,0.0,0.0,0.0,0.0,0,9845118
SYN\SYN079-1.spass,1,7,3,7,3,3353739,0.0,0.0,0.0,0.0,0,8056530
SYN\SYN064-1.spass,1,3,1,3,1,519882,0.0,0.0,0.0,0.0,0,1451416
KRS\KRS017-1.spass,1,9,4,9,4,3874355,0.0,0.0,0.0,0.0,0,5908392
GRP\GRP028-4.spass,1,8,4,8,4,13260127,0.0,0.0,0.0,0.0,0,14174048
MGT\MGT008-1.spass,1,37,20,37,20,89315989,0.0,0.0,0.0,0.0,0,97855714
CSR\CSR070+1.spass,1,17,8,17,8,11321114,0.0,0.0,0.0,0.0,0,12849210
SYN\SYN663-1.spass,1,14,7,14,7,16511136,0.0,0.0,0.0,0.0,0,15922278
SYN\SYN661-1.spass,1,14,7,14,7,15513196,0.0,0.0,0.0,0.0,0,17327465
SYN\SYN620-1.spass,1,15,7,15,7,7867949,0.0,0.0,0.0,0.0,0,16075271
ANA\ANA042-2.spass,1,3,1,3,1,549234,0.0,0.0,0.0,0.0,0,1876641
SYN\SYN562-1.spass,1,12,6,12,6,8290606,0.0,0.0,0.0,0.0,0,17133014
SWV\SWV291-2.spass,1,23,11,23,11,16022072,0.0,0.0,0.0,0.0,0,36303366
COL\COL110-2.spass,1,18,8,18,8,10635031,0.0,0.0,0.0,0.0,0,35535466
COL\COL123-2.spass,1,19,8,19,8,27347956,0.0,0.0,0.0,0.0,0,34786278
COM\COM001-1.spass,1,13,6,13,6,8578614,0.0,0.0,0.0,0.0,0,10447551
SEU\SEU158+3.spass,1,9,3,9,3,1878108,0.0,0.0,0.0,0.0,0,5421896
SEU\SEU158+1.spass,1,9,3,9,3,1345384,0.0,0.0,0.0,0.0,0,5413824
SWV\SWV309-2.spass,1,5,2,5,2,4156493,0.0,0.0,0.0,0.0,0,8840207
ANA\ANA041-2.spass,1,3,1,3,1,401744,0.0,0.0,0.0,0.0,0,1710440
SYN\SYN561-1.spass,1,20,12,20,12,17096692,0.0,0.0,0.0,0.0,0,16771260
SYN\SYN648-1.spass,1,15,7,15,7,10695935,0.0,0.0,0.0,0.0,0,25477186
SWV\SWV334-2.spass,1,3,1,3,1,842012,0.0,0.0,0.0,0.0,0,2283154
SYN\SYN618-1.spass,1,23,12,23,12,13126946,0.0,0.0,0.0,0.0,0,19504222
SYN\SYN346-1.spass,1,4,2,4,2,1927638,0.0,0.0,0.0,0.0,0,3457202
SET\SET827-2.spass,1,7,3,7,3,1547174,0.0,0.0,0.0,0.0,0,19432312
PUZ\PUZ047+1.spass,1,16,8,16,8,8425254,0.0,0.0,0.0,0.0,0,10211274
SET\SET009+3.spass,1,25,13,25,13,19138066,0.0,0.0,0.0,0.0,0,34394439
PUZ\PUZ035-6.spass,1,9,6,9,6,6649141,0.0,0.0,0.0,0.0,0,5533797
SWV\SWV331-2.spass,1,12,6,12,6,6174020,0.0,0.0,0.0,0.0,0,11685803
CSR\CSR035+1.spass,1,5,2,5,2,953180,0.0,0.0,0.0,0.0,0,2528970
SYN\SYN345-1.spass,1,20,7,20,7,8822229,0.0,0.0,0.0,0.0,0,13990237
SET\SET852-2.spass,1,13,5,13,5,4864591,0.0,0.0,0.0,0.0,0,24802109
