proof,compressed?,length,resOnlyLength,compressedLengthAll,compressedLengthResOnly,compressTime,compressRatio,compressSpeed,compressRatioRes,compressSpeedRes,numFOSub,totalTime
\SYN\SYN079-1.spass,0,7,3,7,3,18036095,0.0,0.0,0.0,0.0,0,194062604
\SYN\SYN064-1.spass,0,3,1,3,1,372652,0.0,0.0,0.0,0.0,0,10104619
\KRS\KRS017-1.spass,0,9,4,9,4,4433132,0.0,0.0,0.0,0.0,0,28442704
\SYN\SYN665-1.spass,0,14,7,14,7,6339812,0.0,0.0,0.0,0.0,0,45356502
\GRP\GRP028-4.spass,0,8,4,8,4,33330991,0.0,0.0,0.0,0.0,0,97105714
\CSR\CSR070+1.spass,0,17,8,17,8,1807202,0.0,0.0,0.0,0.0,0,22886881
\SYN\SYN678-1.spass,0,14,7,14,7,2048399,0.0,0.0,0.0,0.0,0,23886013
\SYN\SYN663-1.spass,0,14,7,14,7,3314782,0.0,0.0,0.0,0.0,0,24132736
\MGT\MGT008-1.spass,0,37,20,38,20,674307338,-0.02702702702702703,-1.483003288924612E-9,0.0,0.0,0,267932866
\SET\SET913+1.spass,0,5,2,5,2,256987,0.0,0.0,0.0,0.0,0,4005609
\SYN\SYN620-1.spass,0,15,7,15,7,1135324,0.0,0.0,0.0,0.0,0,17577781
\SWV\SWV267-2.spass,0,7,3,7,3,264882,0.0,0.0,0.0,0.0,0,6740887
\SYN\SYN730+1.spass,0,4,2,4,2,194221,0.0,0.0,0.0,0.0,0,3137536
\SET\SET842-2.spass,0,15,6,15,6,1280990,0.0,0.0,0.0,0.0,0,22065785
\SWV\SWV265-2.spass,0,5,2,5,2,467789,0.0,0.0,0.0,0.0,0,6609038
\SYN\SYN333-1.spass,0,9,6,9,6,816754,0.0,0.0,0.0,0.0,0,14289053
\MGT\MGT036-2.spass,0,26,15,26,15,2141167,0.0,0.0,0.0,0.0,0,26221006
\MGT\MGT007-1.spass,0,49,27,50,27,112983273,-0.02040816326530612,-8.850867685520139E-9,0.0,0.0,0,1034848046
\SYN\SYN662-1.spass,0,14,7,14,7,2219723,0.0,0.0,0.0,0.0,0,13841792
\SYN\SYN675-1.spass,0,14,7,14,7,1179931,0.0,0.0,0.0,0.0,0,11239153
\SYN\SYN660-1.spass,0,14,7,14,7,1732198,0.0,0.0,0.0,0.0,0,11104540
\SWB\SWB019+2.spass,0,7,3,7,3,402653,0.0,0.0,0.0,0.0,0,6958003
\CSR\CSR052+1.spass,0,25,15,25,15,1362309,0.0,0.0,0.0,0.0,0,12229206
\SWV\SWV292-2.spass,0,34,18,34,18,2523293,0.0,0.0,0.0,0.0,0,32556871
\SWV\SWV290-2.spass,0,21,11,21,11,2691855,0.0,0.0,0.0,0.0,0,26101395
\SYN\SYN706-1.spass,0,18,8,18,8,1543109,0.0,0.0,0.0,0.0,0,18462039
\SYN\SYN719-1.spass,0,17,8,17,8,1142035,0.0,0.0,0.0,0.0,0,15656100
\PUZ\PUZ008-1.spass,0,5,2,5,2,300805,0.0,0.0,0.0,0.0,0,9390502
\SWV\SWV349-2.spass,0,3,1,3,1,144876,0.0,0.0,0.0,0.0,0,1764963
\SWV\SWV308-2.spass,0,40,21,40,21,5947028,0.0,0.0,0.0,0.0,0,31187456
\SYN\SYN731-1.spass,0,3,1,3,1,116059,0.0,0.0,0.0,0.0,0,1589295
\SWV\SWV331-2.spass,0,12,6,12,6,552267,0.0,0.0,0.0,0.0,0,8255573
\SET\SET852-2.spass,0,13,5,13,5,827412,0.0,0.0,0.0,0.0,0,15276738
\SYN\SYN345-1.spass,0,20,7,20,7,1776411,0.0,0.0,0.0,0.0,0,10805708
\SET\SET826-2.spass,0,7,3,7,3,208038,0.0,0.0,0.0,0.0,0,2111165
\SET\SET824-2.spass,0,4,2,4,2,141323,0.0,0.0,0.0,0.0,0,1191775
\SYN\SYN343-1.spass,0,5,1,5,1,122770,0.0,0.0,0.0,0.0,0,1322834
\SWV\SWV247-2.spass,0,38,26,38,26,12119069,0.0,0.0,0.0,0.0,0,28993391
\PLA\PLA003-1.spass,0,15,7,15,7,485157,0.0,0.0,0.0,0.0,0,4749333
\SYN\SYN687-1.spass,0,14,6,14,6,32396599,0.0,0.0,0.0,0.0,0,15540435
\SYN\SYN685-1.spass,0,14,7,14,7,457130,0.0,0.0,0.0,0.0,0,5749255
\SYN\SYN657-1.spass,0,18,9,18,9,2556058,0.0,0.0,0.0,0.0,0,7756994
\SWV\SWV330-2.spass,0,3,1,3,1,84083,0.0,0.0,0.0,0.0,0,974263
\LCL\LCL447-2.spass,0,7,3,7,3,206064,0.0,0.0,0.0,0.0,0,2428550
\SWV\SWV289-2.spass,0,18,8,18,8,916233,0.0,0.0,0.0,0.0,0,13211364
\SWV\SWV287-2.spass,0,18,8,18,8,1108481,0.0,0.0,0.0,0.0,0,9351815
\SYN\SYN084-2.spass,0,40,22,40,22,2297886,0.0,0.0,0.0,0.0,0,16871165
\SWV\SWV246-2.spass,1,19,11,19,10,3859154,0.0,0.0,0.05263157894736842,2.591241500080069E-7,0,8557957
\COL\COL119-2.spass,0,5,2,5,2,135402,0.0,0.0,0.0,0.0,0,2962263
\SWV\SWV259-2.spass,0,9,4,9,4,203301,0.0,0.0,0.0,0.0,0,2396575
\SWV\SWV244-2.spass,0,13,7,13,7,660036,0.0,0.0,0.0,0.0,0,2848179
\SYN\SYN684-1.spass,0,14,7,14,7,464630,0.0,0.0,0.0,0.0,0,4154432
\SYN\SYN682-1.spass,0,14,7,14,7,454761,0.0,0.0,0.0,0.0,0,5057244
\SET\SET589+3.spass,0,11,5,11,5,309885,0.0,0.0,0.0,0.0,0,2969369
\SYN\SYN585-1.spass,0,13,6,13,6,277910,0.0,0.0,0.0,0.0,0,4140616
\SYN\SYN583-1.spass,0,18,9,18,9,2929104,0.0,0.0,0.0,0.0,0,4724068
\SWV\SWV271-2.spass,0,18,9,18,9,997948,0.0,0.0,0.0,0.0,0,8546114
