proof,compressed?,length,resOnlyLength,compressedLengthAll,compressedLengthResOnly,compressTime,compressRatio,compressSpeed,compressRatioRes,compressSpeedRes,numFOSub,totalTime
\SYN\SYN079-1.spass,0,7,3,7,3,5324889,0.0,0.0,0.0,0.0,0,198882993
\SYN\SYN064-1.spass,0,3,1,3,1,84478,0.0,0.0,0.0,0.0,0,9604461
\KRS\KRS017-1.spass,1,9,4,11,3,35080558,-0.2222222222222222,-5.701163590385307E-8,0.1111111111111111,2.8505817951926535E-8,2,30525446
\SYN\SYN665-1.spass,0,14,7,14,7,358835,0.0,0.0,0.0,0.0,0,45109778
\GRP\GRP028-4.spass,0,8,4,8,4,7543034,0.0,0.0,0.0,0.0,0,104144247
\CSR\CSR070+1.spass,0,17,8,17,8,241592,0.0,0.0,0.0,0.0,0,22348036
\SYN\SYN678-1.spass,0,14,7,14,7,316991,0.0,0.0,0.0,0.0,0,33430865
\SYN\SYN663-1.spass,0,14,7,14,7,242382,0.0,0.0,0.0,0.0,0,32745171
\MGT\MGT008-1.spass,1,37,20,36,16,668409260,0.02702702702702703,1.4960893869124434E-9,0.10810810810810811,5.984357547649774E-9,2,417082281
\SET\SET913+1.spass,0,5,2,5,2,68293,0.0,0.0,0.0,0.0,0,4247200
\SYN\SYN620-1.spass,0,15,7,15,7,208037,0.0,0.0,0.0,0.0,0,18536253
\SWV\SWV267-2.spass,0,7,3,7,3,77767,0.0,0.0,0.0,0.0,0,6257308
\SYN\SYN730+1.spass,0,4,2,4,2,517528,0.0,0.0,0.0,0.0,0,3462422
\SET\SET842-2.spass,0,15,6,15,6,222643,0.0,0.0,0.0,0.0,0,16736551
\SWV\SWV265-2.spass,0,5,2,5,2,55266,0.0,0.0,0.0,0.0,0,3875339
\SYN\SYN333-1.spass,0,9,6,9,6,437786,0.0,0.0,0.0,0.0,0,13219259
\MGT\MGT036-2.spass,0,26,15,26,15,10326473,0.0,0.0,0.0,0.0,0,18548490
\MGT\MGT007-1.spass,1,49,27,47,23,720613232,0.04081632653061224,2.775413926898306E-9,0.08163265306122448,5.550827853796612E-9,2,925578261
\SYN\SYN662-1.spass,0,14,7,14,7,163430,0.0,0.0,0.0,0.0,0,7988716
\SYN\SYN675-1.spass,0,14,7,14,7,128691,0.0,0.0,0.0,0.0,0,7937792
\SYN\SYN660-1.spass,0,14,7,14,7,138165,0.0,0.0,0.0,0.0,0,9426029
\SWB\SWB019+2.spass,0,7,3,7,3,69872,0.0,0.0,0.0,0.0,0,4654591
\CSR\CSR052+1.spass,0,25,15,25,15,126718,0.0,0.0,0.0,0.0,0,14478931
\SWV\SWV292-2.spass,1,34,18,36,16,7645277,-0.058823529411764705,-2.6159941621474277E-7,0.058823529411764705,2.6159941621474277E-7,3,36341021
\SWV\SWV290-2.spass,1,21,11,22,10,5827811,-0.047619047619047616,-1.715910141904053E-7,0.047619047619047616,1.715910141904053E-7,1,19182866
\SYN\SYN706-1.spass,0,18,8,18,8,271594,0.0,0.0,0.0,0.0,0,32197246
\SYN\SYN719-1.spass,0,17,8,17,8,237644,0.0,0.0,0.0,0.0,0,15971512
\PUZ\PUZ008-1.spass,0,5,2,5,2,88820,0.0,0.0,0.0,0.0,0,3910078
\SWV\SWV349-2.spass,0,3,1,3,1,95137,0.0,0.0,0.0,0.0,0,1809965
\SWV\SWV308-2.spass,0,40,21,40,21,6636275,0.0,0.0,0.0,0.0,0,40041876
\SYN\SYN731-1.spass,0,3,1,3,1,94347,0.0,0.0,0.0,0.0,0,1284937
\SWV\SWV331-2.spass,1,12,6,14,5,3002134,-0.16666666666666666,-6.66192781534735E-7,0.08333333333333333,3.330963907673675E-7,2,4888682
\SET\SET852-2.spass,0,13,5,13,5,297648,0.0,0.0,0.0,0.0,0,20001595
\SYN\SYN345-1.spass,0,20,7,20,7,3447816,0.0,0.0,0.0,0.0,0,8846920
\SET\SET826-2.spass,0,7,3,7,3,210011,0.0,0.0,0.0,0.0,0,2128140
