proof,compressed?,length,resOnlyLength,compressedLengthAll,compressedLengthResOnly,compressTime,compressRatio,compressSpeed,compressRatioRes,compressSpeedRes,numFOSub,totalTime
\SYN\SYN079-1.spass,0,7,3,7,3,22609760,0.0,0.0,0.0,0.0,0,201465105
\SYN\SYN064-1.spass,0,3,1,3,1,573978,0.0,0.0,0.0,0.0,0,7695017
\KRS\KRS017-1.spass,1,9,4,11,3,32652402,-0.2222222222222222,-6.125123658590262E-8,0.1111111111111111,3.062561829295131E-8,2,30785987
\SYN\SYN665-1.spass,0,14,7,14,7,5822679,0.0,0.0,0.0,0.0,0,41316154
\GRP\GRP028-4.spass,0,8,4,-1,-1,-1,-1,-1,-1,-1,-1,-1-ERROR
\CSR\CSR070+1.spass,0,17,8,17,8,1455473,0.0,0.0,0.0,0.0,0,22573048
\SYN\SYN678-1.spass,0,14,7,14,7,2100507,0.0,0.0,0.0,0.0,0,22881749
\SYN\SYN663-1.spass,0,14,7,14,7,2031029,0.0,0.0,0.0,0.0,0,21300743
\MGT\MGT008-1.spass,1,37,20,36,16,1148796897,0.02702702702702703,8.704758888289372E-10,0.10810810810810811,3.481903555315749E-9,2,346910111
\SET\SET913+1.spass,0,5,2,5,2,323307,0.0,0.0,0.0,0.0,0,2624351
\SYN\SYN620-1.spass,0,15,7,15,7,941498,0.0,0.0,0.0,0.0,0,16465353
\SWV\SWV267-2.spass,0,7,3,7,3,490684,0.0,0.0,0.0,0.0,0,6434159
\SYN\SYN730+1.spass,0,4,2,4,2,1003080,0.0,0.0,0.0,0.0,0,2995423
\SET\SET842-2.spass,0,15,6,15,6,2271832,0.0,0.0,0.0,0.0,0,16712077
\SWV\SWV265-2.spass,0,5,2,5,2,287778,0.0,0.0,0.0,0.0,0,3229910
\SYN\SYN333-1.spass,0,9,6,9,6,1942999,0.0,0.0,0.0,0.0,0,10200150
\MGT\MGT036-2.spass,0,26,15,-1,-1,-1,-1,-1,-1,-1,-1,-1-ERROR
\MGT\MGT007-1.spass,1,49,27,47,23,778416452,0.04081632653061224,2.5693187687148216E-9,0.08163265306122448,5.138637537429643E-9,2,761735956
\SYN\SYN662-1.spass,0,14,7,14,7,1259672,0.0,0.0,0.0,0.0,0,8329392
\SYN\SYN675-1.spass,0,14,7,14,7,1235987,0.0,0.0,0.0,0.0,0,8338077
\SYN\SYN660-1.spass,0,14,7,14,7,803728,0.0,0.0,0.0,0.0,0,7348813
\SWB\SWB019+2.spass,0,7,3,7,3,388047,0.0,0.0,0.0,0.0,0,2715540
