proof,compressed?,length,resOnlyLength,compressedLengthAll,compressedLengthResOnly,compressTime,compressRatio,compressSpeed,compressRatioRes,compressSpeedRes,numFOSub,totalTime
\SYN\SYN079-1.spass,0,7,3,7,3,31622478,0.0,0.0,0.0,0.0,0,214135650
\SYN\SYN064-1.spass,0,3,1,3,1,611480,0.0,0.0,0.0,0.0,0,9369185
\KRS\KRS017-1.spass,0,9,4,9,4,34608033,0.0,0.0,0.0,0.0,0,31961181
\SYN\SYN665-1.spass,0,14,7,14,7,7783048,0.0,0.0,0.0,0.0,0,43886424
\GRP\GRP028-4.spass,0,8,4,8,4,29124846,0.0,0.0,0.0,0.0,0,98815805
\CSR\CSR070+1.spass,0,17,8,17,8,1447972,0.0,0.0,0.0,0.0,0,19061676
\SYN\SYN678-1.spass,0,14,7,14,7,2500792,0.0,0.0,0.0,0.0,0,28265457
\SYN\SYN663-1.spass,0,14,7,14,7,1999449,0.0,0.0,0.0,0.0,0,17784634
\MGT\MGT008-1.spass,0,37,20,38,20,1060839303,-0.02702702702702703,-9.426498407176755E-10,0.0,0.0,0,244710047
\SET\SET913+1.spass,0,5,2,5,2,376204,0.0,0.0,0.0,0.0,0,4554717
\SYN\SYN620-1.spass,0,15,7,15,7,878336,0.0,0.0,0.0,0.0,0,15248710
\SWV\SWV267-2.spass,0,7,3,7,3,592532,0.0,0.0,0.0,0.0,0,11129410
\SYN\SYN730+1.spass,0,4,2,4,2,1028739,0.0,0.0,0.0,0.0,0,3961396
\SET\SET842-2.spass,0,15,6,15,6,1990369,0.0,0.0,0.0,0.0,0,21634314
\SWV\SWV265-2.spass,0,5,2,5,2,300806,0.0,0.0,0.0,0.0,0,4351022
\SYN\SYN333-1.spass,0,9,6,9,6,960446,0.0,0.0,0.0,0.0,0,11970245
\MGT\MGT036-2.spass,0,26,15,26,15,14710654,0.0,0.0,0.0,0.0,0,28567841
\MGT\MGT007-1.spass,0,49,27,50,27,975861736,-0.02040816326530612,-1.0247353319732991E-9,0.0,0.0,0,827173793
\SYN\SYN662-1.spass,0,14,7,14,7,2788176,0.0,0.0,0.0,0.0,0,13826002
\SYN\SYN675-1.spass,0,14,7,14,7,1841151,0.0,0.0,0.0,0.0,0,18707183
\SYN\SYN660-1.spass,0,14,7,14,7,832544,0.0,0.0,0.0,0.0,0,11117962
\SWB\SWB019+2.spass,0,7,3,7,3,418444,0.0,0.0,0.0,0.0,0,6533244
\CSR\CSR052+1.spass,0,25,15,25,15,1473237,0.0,0.0,0.0,0.0,0,16974986
\SWV\SWV292-2.spass,0,34,18,34,18,9652621,0.0,0.0,0.0,0.0,0,25959676
\SWV\SWV290-2.spass,0,21,11,21,11,7802391,0.0,0.0,0.0,0.0,0,23605340
\SYN\SYN706-1.spass,0,18,8,18,8,1155062,0.0,0.0,0.0,0.0,0,17712788
