length,numCompressedforpilu,numCompressedfolurpi,numCompressedfolu,numCompressedforpi,numCompressedNonUnique,numCompressedByAll,numNotCompressed,total
3,0,0,0,0,0,0,26,26
4,0,0,0,0,1,0,4,5
5,0,0,0,0,0,0,34,34
6,0,0,0,0,0,0,3,3
7,0,0,0,0,0,0,26,26
8,0,0,0,0,0,1,4,5
9,0,0,0,0,2,0,16,18
10,0,0,0,0,0,0,2,2
11,0,0,0,0,3,0,9,12
12,0,0,0,0,6,0,6,12
13,0,0,0,0,0,0,12,12
14,0,0,0,0,2,0,30,32
15,0,0,0,0,2,0,11,13
16,0,0,0,0,3,1,7,11
17,0,0,0,0,0,0,9,9
18,0,0,0,0,1,1,10,12
19,0,0,0,0,3,0,5,8
20,0,0,0,0,3,0,4,7
21,0,0,0,0,3,0,3,6
22,0,0,0,0,1,0,2,3
23,0,0,0,0,2,0,7,9
24,0,0,0,0,2,0,3,5
25,0,0,0,0,0,0,2,2
26,0,0,0,0,2,0,3,5
27,0,0,0,0,0,0,1,1
28,0,0,0,0,1,0,0,1
29,0,0,0,0,1,0,1,2
30,0,0,0,0,1,0,0,1
31,0,0,0,0,1,2,1,4
32,0,0,0,0,0,0,2,2
33,0,0,0,0,0,0,1,1
34,0,0,0,0,2,0,0,2
36,0,0,0,0,0,1,1,2
37,0,0,0,0,1,0,2,3
38,0,0,0,0,1,0,0,1
40,0,0,0,0,0,2,2,4
41,0,0,0,0,1,0,0,1
42,0,0,0,0,0,2,0,2
45,0,0,0,0,0,0,1,1
47,0,0,0,0,0,0,1,1
49,0,0,0,0,1,0,1,2
