proof,compressed?,length,resOnlyLength,compressedLengthAll,compressedLengthResOnly,compressTime,compressRatio,compressSpeed,compressRatioRes,compressSpeedRes,numFOSub,totalTime
\SYN\SYN079-1.spass,0,7,3,7,3,23554407,0.0,0.0,0.0,0.0,0,170128364
\SYN\SYN064-1.spass,0,3,1,3,1,495816,0.0,0.0,0.0,0.0,0,10613457
\KRS\KRS017-1.spass,0,9,4,9,4,40861377,0.0,0.0,0.0,0.0,0,32266316
\SYN\SYN665-1.spass,0,14,7,14,7,12823706,0.0,0.0,0.0,0.0,0,34821584
\GRP\GRP028-4.spass,0,8,4,8,4,12285652,0.0,0.0,0.0,0.0,0,148850525
\CSR\CSR070+1.spass,0,17,8,17,8,2554478,0.0,0.0,0.0,0.0,0,20458322
\SYN\SYN678-1.spass,0,14,7,14,7,3766384,0.0,0.0,0.0,0.0,0,27944508
\SYN\SYN663-1.spass,0,14,7,14,7,4404707,0.0,0.0,0.0,0.0,0,15980584
\MGT\MGT008-1.spass,0,37,20,37,20,1458926046,-0.02702702702702703,-6.854357030239763E-10,0.0,0.0,0,440985095
\SET\SET913+1.spass,0,5,2,5,2,341465,0.0,0.0,0.0,0.0,0,3139509
\SYN\SYN620-1.spass,0,15,7,15,7,1653246,0.0,0.0,0.0,0.0,0,13475451
\SWV\SWV267-2.spass,0,7,3,7,3,1729434,0.0,0.0,0.0,0.0,0,6402576
\SYN\SYN730+1.spass,0,4,2,4,2,1103743,0.0,0.0,0.0,0.0,0,2875415
\SET\SET842-2.spass,0,15,6,15,6,1539950,0.0,0.0,0.0,0.0,0,14442608
\SWV\SWV265-2.spass,0,5,2,5,2,284620,0.0,0.0,0.0,0.0,0,2222092
\SYN\SYN333-1.spass,0,9,6,9,6,1464157,0.0,0.0,0.0,0.0,0,7942526
\MGT\MGT036-2.spass,0,26,15,26,15,13349919,0.0,0.0,0.0,0.0,0,16882605
\MGT\MGT007-1.spass,0,49,27,49,27,1384865934,0.0,0.0,0.0,0.0,0,1459801619
\SYN\SYN662-1.spass,0,14,7,14,7,2623165,0.0,0.0,0.0,0.0,0,9144169
\SYN\SYN675-1.spass,0,14,7,14,7,2484606,0.0,0.0,0.0,0.0,0,9483660
\SYN\SYN660-1.spass,0,14,7,14,7,2370915,0.0,0.0,0.0,0.0,0,9262597
\SWB\SWB019+2.spass,0,7,3,7,3,1074531,0.0,0.0,0.0,0.0,0,4705118
\CSR\CSR052+1.spass,0,25,15,25,15,4566952,0.0,0.0,0.0,0.0,0,13049113
\SWV\SWV292-2.spass,0,34,18,34,18,13889158,0.0,0.0,0.0,0.0,0,32668970
\SWV\SWV290-2.spass,0,21,11,21,11,17456584,0.0,0.0,0.0,0.0,0,31384428
\SYN\SYN706-1.spass,0,18,8,18,8,2340519,0.0,0.0,0.0,0.0,0,17962269
\SYN\SYN719-1.spass,0,17,8,17,8,1615349,0.0,0.0,0.0,0.0,0,9860259
\PUZ\PUZ008-1.spass,0,5,2,5,2,348966,0.0,0.0,0.0,0.0,0,2554873
\SWV\SWV349-2.spass,0,3,1,3,1,224222,0.0,0.0,0.0,0.0,0,1375336
\SWV\SWV308-2.spass,0,40,21,40,21,18843762,0.0,0.0,0.0,0.0,0,32438036
\SYN\SYN731-1.spass,0,3,1,3,1,208826,0.0,0.0,0.0,0.0,0,1080057
