length,numCompressedforpi,numCompressedfolu,numCompressedforpilu,numCompressedfolurpi,numCompressedNonUnique,numCompressedByAll,numNotCompressed,total,binDescriptiontptpnumCompressedforpi,tptpnumCompressedfolu,tptpnumCompressedforpilu,tptpnumCompressedfolurpi,tptpnumCompressedNonUnique,tptpnumCompressedByAll,tptpnumNotCompressed,tptpTotal
0,0,0,0,0,0,0,0,0,3-25,0,0,0,0,34,3,235,272
1,0,0,0,0,3,0,3,6,26-112,0,0,0,0,12,7,17,36
2,0,0,0,0,18,1,14,33,113-172,0,0,0,0,0,0,0,0
3,0,0,0,0,32,1,16,49,173-200,0,0,0,0,0,0,0,0
4,0,0,0,0,41,2,30,73,201-223,0,0,0,0,0,0,0,0
5,0,0,0,0,65,2,55,122,224-247,0,0,0,0,0,0,0,0
6,0,0,0,0,66,6,80,152,248-270,0,0,0,0,0,0,0,0
7,0,0,0,0,109,6,126,241,271-293,0,0,0,0,0,0,0,0
8,0,0,0,0,103,9,133,245,294-316,0,0,0,0,0,0,0,0
9,0,0,0,0,128,9,158,295,317-339,0,0,0,0,0,0,0,0
10,0,0,0,0,91,7,166,264,340-362,0,0,0,0,0,0,0,0
11,0,0,0,0,85,7,139,231,363-385,0,0,0,0,0,0,0,0
12,0,0,0,0,53,8,118,179,386-408,0,0,0,0,0,0,0,0
13,0,0,0,0,44,7,88,139,409-431,0,0,0,0,0,0,0,0
14,0,0,0,0,33,2,53,88,432-456,0,0,0,0,0,0,0,0
15,0,0,0,0,19,3,50,72,457-479,0,0,0,0,0,0,0,0
16,0,0,0,0,8,1,33,42,480-503,0,0,0,0,0,0,0,0
17,0,0,0,0,16,2,20,38,505-560,0,0,0,0,0,0,0,0
18,0,0,0,0,5,1,5,11,563-699,0,0,0,0,0,0,0,0
