bin,luCompResRatio,rpiCompResRatio,lurpiCompResRatio,rpiluCompResRatio,binDescription
4,0.0,0.10294117647058823,0.10294117647058823,0.10294117647058823,125-140
7,0.0,0.0,0.0,0.0,173-188
5,0.0,0.0,0.0,0.0,141-156
8,0.0,0.0,0.0,0.0,189-204
8,0.0,0.0,0.0,0.0,189-204
8,0.0,0.1377551020408163,0.9897959183673469,0.1377551020408163,189-204
6,0.0,0.11976047904191617,0.11976047904191617,0.11976047904191617,157-172
7,0.0,0.0,0.0,0.0,173-188
4,0.9710144927536232,0.0,0.9710144927536232,0.9710144927536232,125-140
1,0.0,0.0,0.0,0.0, 77-92
5,0.0,0.0,0.0,0.0,141-156
11,0.0,0.0,0.0,0.0,237-252
6,0.005917159763313609,0.0,0.005917159763313609,0.14201183431952663,157-172
8,0.0,0.1708542713567839,0.1708542713567839,0.1708542713567839,189-204
8,0.0,0.0,0.0,0.0,189-204
6,0.0,0.0,0.0,0.0,157-172
7,0.0,0.15675675675675677,0.15675675675675677,0.15675675675675677,173-188
3,0.0,0.13008130081300814,0.13008130081300814,0.13008130081300814,109-124
9,0.0,0.14814814814814814,0.9444444444444444,0.14814814814814814,205-220
11,0.0,0.0,0.0,0.0,237-252
11,0.0,0.0,0.0,0.0,237-252
5,0.0,0.12418300653594772,0.12418300653594772,0.12418300653594772,141-156
10,0.0,0.15246636771300448,0.16143497757847533,0.15246636771300448,221-236
8,0.6161616161616161,0.0,0.6161616161616161,0.6161616161616161,189-204
7,0.0,0.12571428571428572,0.12571428571428572,0.12571428571428572,173-188
9,0.0,0.0,0.0,0.0,205-220
12,0.0,0.0,0.0,0.0,253-269
3,0.0,0.0,0.0,0.0,109-124
8,0.0,0.0,0.0,0.0,189-204
7,0.0,0.15425531914893617,0.16489361702127658,0.15425531914893617,173-188
4,0.0,0.08695652173913043,0.08695652173913043,0.08695652173913043,125-140
7,0.0,0.0,0.0,0.0,173-188
7,0.0,0.0,0.0,0.0,173-188
1,0.0,0.0875,0.0875,0.0875, 77-92
5,0.0,0.0,0.0,0.0,141-156
7,0.0,0.13333333333333333,0.13333333333333333,0.13333333333333333,173-188
8,0.0,0.0,0.0,0.0,189-204
8,0.0,0.1076923076923077,0.1076923076923077,0.1076923076923077,189-204
8,0.0,0.15816326530612246,0.15816326530612246,0.15816326530612246,189-204
7,0.0055248618784530384,0.0,0.0055248618784530384,0.0055248618784530384,173-188
2,0.0,0.0,0.0,0.0, 93-108
6,0.0,0.0,0.0,0.0,157-172
4,0.0,0.15873015873015872,0.15873015873015872,0.15873015873015872,125-140
7,0.0,0.11173184357541899,0.12290502793296089,0.11173184357541899,173-188
7,0.0,0.0,0.0,0.0,173-188
4,0.0,0.0,0.0,0.0,125-140
5,0.0,0.1258741258741259,0.1258741258741259,0.1258741258741259,141-156
4,0.0,0.13432835820895522,0.13432835820895522,0.13432835820895522,125-140
11,0.5555555555555556,0.13991769547325103,0.13991769547325103,0.6172839506172839,237-252
8,0.0,0.14795918367346939,0.14795918367346939,0.14795918367346939,189-204
7,0.0,0.0,0.0,0.0,173-188
5,0.0,0.0,0.0,0.0,141-156
7,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,173-188
4,0.0,0.0,0.0,0.0,125-140
9,0.0,0.0,0.0,0.0,205-220
5,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,141-156
7,0.0,0.0,0.0,0.0,173-188
8,0.0,0.0,0.0,0.0,189-204
3,0.0,0.13274336283185842,0.13274336283185842,0.13274336283185842,109-124
3,0.0,0.0,0.0,0.0,109-124
11,0.0,0.0,0.0,0.0,237-252
10,0.6334841628959276,0.14479638009049775,0.14479638009049775,0.6742081447963801,221-236
5,0.0,0.0,0.0,0.0,141-156
4,0.0,0.1297709923664122,0.1984732824427481,0.1297709923664122,125-140
2,0.0,0.102803738317757,0.102803738317757,0.102803738317757, 93-108
8,0.0,0.0,0.0,0.0,189-204
5,0.0,0.0,0.0,0.0,141-156
6,0.0,0.0,0.0,0.0,157-172
5,0.0,0.13013698630136986,0.13013698630136986,0.13013698630136986,141-156
7,0.0,0.0,0.0,0.0,173-188
6,0.0,0.0,0.0,0.0,157-172
5,0.0,0.0,0.0,0.0,141-156
10,0.0,0.0,0.0,0.0,221-236
3,0.0,0.0,0.0,0.0,109-124
5,0.0,0.11920529801324503,0.11920529801324503,0.11920529801324503,141-156
6,0.0,0.11515151515151516,0.11515151515151516,0.11515151515151516,157-172
5,0.0,0.0,0.0,0.0,141-156
5,0.0,0.0,0.0,0.0,141-156
7,0.0,0.1534090909090909,0.1590909090909091,0.1534090909090909,173-188
5,0.006756756756756757,0.0,0.006756756756756757,0.006756756756756757,141-156
6,0.0,0.1402439024390244,0.1402439024390244,0.1402439024390244,157-172
12,0.0,0.0,0.0,0.0,253-269
8,0.0,0.0,0.0,0.0,189-204
7,0.0,0.0,0.0,0.0,173-188
7,0.0,0.14673913043478262,0.14673913043478262,0.14673913043478262,173-188
2,0.0,0.0,0.0,0.0, 93-108
5,0.0,0.1095890410958904,0.1095890410958904,0.1095890410958904,141-156
11,0.0,0.0,0.0,0.0,237-252
8,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,189-204
5,0.0,0.0,0.0,0.0,141-156
5,0.0,0.1437908496732026,0.1568627450980392,0.1437908496732026,141-156
7,0.0,0.15846994535519127,0.15846994535519127,0.15846994535519127,173-188
9,0.0,0.10679611650485436,0.11165048543689321,0.10679611650485436,205-220
4,0.5447761194029851,0.0,0.5447761194029851,0.5447761194029851,125-140
9,0.0,0.0,0.0,0.0,205-220
4,0.0,0.0,0.0,0.0,125-140
5,0.0,0.10638297872340426,0.10638297872340426,0.10638297872340426,141-156
7,0.0,0.13068181818181818,0.18181818181818182,0.13068181818181818,173-188
5,0.0,0.0,0.0,0.0,141-156
8,0.0,0.0,0.0,0.0,189-204
7,0.0,0.14124293785310735,0.14124293785310735,0.14124293785310735,173-188
8,0.0,0.15263157894736842,0.15789473684210525,0.15263157894736842,189-204
5,0.0,0.11333333333333333,0.11333333333333333,0.11333333333333333,141-156
8,0.5909090909090909,0.1111111111111111,0.1111111111111111,0.6262626262626263,189-204
6,0.0,0.0,0.0,0.0,157-172
5,0.0,0.14383561643835616,0.14383561643835616,0.14383561643835616,141-156
8,0.43157894736842106,0.0,0.43157894736842106,0.43157894736842106,189-204
8,0.0,0.0,0.0,0.0,189-204
7,0.0,0.0,0.0,0.0,173-188
10,0.0,0.0,0.0,0.0,221-236
5,0.0,0.1360544217687075,0.1360544217687075,0.1360544217687075,141-156
4,0.0,0.15555555555555556,0.17777777777777778,0.15555555555555556,125-140
1,0.0,0.10112359550561797,0.10112359550561797,0.10112359550561797, 77-92
