proof,compressed?,length,resOnlyLength,compressedLengthAll,compressedLengthResOnly,compressTime,compressRatio,compressSpeed,compressRatioRes,compressSpeedRes,numFOSub,totalTime
\SYN\SYN079-1.spass,0,7,3,7,3,5435420,0.0,0.0,0.0,0.0,0,173346034
\SYN\SYN064-1.spass,0,3,1,3,1,167773,0.0,0.0,0.0,0.0,0,8771123
\KRS\KRS017-1.spass,1,9,4,11,3,35266476,-0.2222222222222222,-5.671108165159456E-8,0.1111111111111111,2.835554082579728E-8,2,32447510
\SYN\SYN665-1.spass,0,14,7,14,7,290147,0.0,0.0,0.0,0.0,0,44289453
\GRP\GRP028-4.spass,0,8,4,8,4,8871786,0.0,0.0,0.0,0.0,0,156739758
\CSR\CSR070+1.spass,0,17,8,17,8,358440,0.0,0.0,0.0,0.0,0,19480507
\SYN\SYN678-1.spass,0,14,7,14,7,209616,0.0,0.0,0.0,0.0,0,24330500
\SYN\SYN663-1.spass,0,14,7,14,7,325676,0.0,0.0,0.0,0.0,0,29881979
\MGT\MGT008-1.spass,1,37,20,36,16,1482971531,0.02702702702702703,6.743217783322369E-10,0.10810810810810811,2.6972871133289475E-9,2,428312581
\SET\SET913+1.spass,0,5,2,5,2,63162,0.0,0.0,0.0,0.0,0,4246804
\SYN\SYN620-1.spass,0,15,7,15,7,197773,0.0,0.0,0.0,0.0,0,15489900
\SWV\SWV267-2.spass,0,7,3,7,3,78557,0.0,0.0,0.0,0.0,0,6505213
\SYN\SYN730+1.spass,0,4,2,4,2,518317,0.0,0.0,0.0,0.0,0,4972369
\SET\SET842-2.spass,0,15,6,15,6,213564,0.0,0.0,0.0,0.0,0,13504269
\SWV\SWV265-2.spass,0,5,2,5,2,60793,0.0,0.0,0.0,0.0,0,3432419
\SYN\SYN333-1.spass,0,9,6,9,6,416075,0.0,0.0,0.0,0.0,0,8344785
\MGT\MGT036-2.spass,0,26,15,26,15,8829942,0.0,0.0,0.0,0.0,0,22332237
\MGT\MGT007-1.spass,1,49,27,47,23,1291131095,0.04081632653061224,1.5490293803202067E-9,0.08163265306122448,3.0980587606404134E-9,2,1502155574
\SYN\SYN662-1.spass,0,14,7,14,7,203301,0.0,0.0,0.0,0.0,0,6041768
\SYN\SYN675-1.spass,0,14,7,14,7,145666,0.0,0.0,0.0,0.0,0,9447738
\SYN\SYN660-1.spass,0,14,7,14,7,145665,0.0,0.0,0.0,0.0,0,6074928
\SWB\SWB019+2.spass,0,7,3,7,3,47766,0.0,0.0,0.0,0.0,0,3247673
\CSR\CSR052+1.spass,0,25,15,25,15,149219,0.0,0.0,0.0,0.0,0,12181830
