proof,compressed?,length,resOnlyLength,compressedLengthAll,compressedLengthResOnly,compressTime,compressRatio,compressSpeed,compressRatioRes,compressSpeedRes,numFOSub,totalTime
\SYN\SYN079-1.spass,0,7,3,7,3,21198098,0.0,0.0,0.0,0.0,0,244354273
\SYN\SYN064-1.spass,0,3,1,3,1,323701,0.0,0.0,0.0,0.0,0,8621115
\KRS\KRS017-1.spass,1,9,4,11,3,38205052,-0.2222222222222222,-5.2349097705717036E-8,0.1111111111111111,2.6174548852858518E-8,2,33007671
\SYN\SYN665-1.spass,0,14,7,14,7,17393817,0.0,0.0,0.0,0.0,0,34134310
\GRP\GRP028-4.spass,0,8,4,8,4,11050849,0.0,0.0,0.0,0.0,0,147102932
\CSR\CSR070+1.spass,0,17,8,17,8,2981211,0.0,0.0,0.0,0.0,0,20550301
\SYN\SYN678-1.spass,0,14,7,14,7,4076664,0.0,0.0,0.0,0.0,0,24015089
\SYN\SYN663-1.spass,0,14,7,14,7,3813755,0.0,0.0,0.0,0.0,0,16048483
\MGT\MGT008-1.spass,1,37,20,36,16,1430300976,0.02702702702702703,6.991535465469752E-10,0.10810810810810811,2.7966141861879007E-9,2,387268430
\SET\SET913+1.spass,0,5,2,5,2,417653,0.0,0.0,0.0,0.0,0,4267726
\SYN\SYN620-1.spass,0,15,7,15,7,2124981,0.0,0.0,0.0,0.0,0,18208991
\SWV\SWV267-2.spass,0,7,3,7,3,747671,0.0,0.0,0.0,0.0,0,6768122
\SYN\SYN730+1.spass,0,4,2,4,2,1103743,0.0,0.0,0.0,0.0,0,3243725
\SET\SET842-2.spass,0,15,6,15,6,2936998,0.0,0.0,0.0,0.0,0,25051328
\SWV\SWV265-2.spass,0,5,2,5,2,270015,0.0,0.0,0.0,0.0,0,3599797
\SYN\SYN333-1.spass,0,9,6,9,6,1838387,0.0,0.0,0.0,0.0,0,13754545
\MGT\MGT036-2.spass,0,26,15,26,15,13549271,0.0,0.0,0.0,0.0,0,27403295
\MGT\MGT007-1.spass,1,49,27,47,23,1371900905,0.04081632653061224,1.457831241827193E-9,0.08163265306122448,2.915662483654386E-9,2,1454574236
\SYN\SYN662-1.spass,0,14,7,14,7,2757383,0.0,0.0,0.0,0.0,0,9797099
\SYN\SYN675-1.spass,0,14,7,14,7,2523686,0.0,0.0,0.0,0.0,0,8976792
\SYN\SYN660-1.spass,0,14,7,14,7,3098848,0.0,0.0,0.0,0.0,0,11547850
\SWB\SWB019+2.spass,0,7,3,7,3,622928,0.0,0.0,0.0,0.0,0,6125456
\CSR\CSR052+1.spass,0,25,15,25,15,4640377,0.0,0.0,0.0,0.0,0,10972292
\SWV\SWV292-2.spass,1,34,18,36,16,12046034,-0.058823529411764705,-1.6602974887834452E-7,0.058823529411764705,1.6602974887834452E-7,3,19735520
\SWV\SWV290-2.spass,1,21,11,22,10,6076112,-0.047619047619047616,-1.6457892810402442E-7,0.047619047619047616,1.6457892810402442E-7,1,16678121
\SYN\SYN706-1.spass,0,18,8,18,8,2864363,0.0,0.0,0.0,0.0,0,11754702
\SYN\SYN719-1.spass,0,17,8,17,8,1767330,0.0,0.0,0.0,0.0,0,7473949
\PUZ\PUZ008-1.spass,0,5,2,5,2,657272,0.0,0.0,0.0,0.0,0,2869889
\SWV\SWV349-2.spass,0,3,1,3,1,255802,0.0,0.0,0.0,0.0,0,1647719
\SWV\SWV308-2.spass,0,40,21,40,21,12957134,0.0,0.0,0.0,0.0,0,30051330
\SYN\SYN731-1.spass,0,3,1,3,1,205274,0.0,0.0,0.0,0.0,0,780831
\SWV\SWV331-2.spass,1,12,6,14,5,2379205,-0.16666666666666666,-8.4061692876402E-7,0.08333333333333333,4.2030846438201E-7,2,3606507
