proof,compressed?,length,resOnlyLength,compressedLengthAll,compressedLengthResOnly,compressTime,compressRatio,compressSpeed,compressRatioRes,compressSpeedRes,numFOSub,totalTime
\SYN\SYN079-1.spass,0,7,3,7,3,18809024,0.0,0.0,0.0,0.0,0,197935495
\SYN\SYN064-1.spass,0,3,1,3,1,445287,0.0,0.0,0.0,0.0,0,10520689
\KRS\KRS017-1.spass,0,9,4,9,4,2936998,0.0,0.0,0.0,0.0,0,47345669
\SYN\SYN665-1.spass,0,14,7,14,7,13881263,0.0,0.0,0.0,0.0,0,37602652
\GRP\GRP028-4.spass,0,8,4,8,4,3174642,0.0,0.0,0.0,0.0,0,203314070
\CSR\CSR070+1.spass,0,17,8,17,8,2534345,0.0,0.0,0.0,0.0,0,17736072
\SYN\SYN678-1.spass,0,14,7,14,7,4189565,0.0,0.0,0.0,0.0,0,19705124
\SYN\SYN663-1.spass,0,14,7,14,7,3209381,0.0,0.0,0.0,0.0,0,20313445
\MGT\MGT008-1.spass,0,37,20,37,20,272026793,-0.02702702702702703,-3.676108478035103E-9,0.0,0.0,0,404252094
\SET\SET913+1.spass,0,5,2,5,2,867283,0.0,0.0,0.0,0.0,0,4227856
\SYN\SYN620-1.spass,0,15,7,15,7,1858520,0.0,0.0,0.0,0.0,0,19799866
\SWV\SWV267-2.spass,0,7,3,7,3,699511,0.0,0.0,0.0,0.0,0,6988791
\SYN\SYN730+1.spass,0,4,2,4,2,267251,0.0,0.0,0.0,0.0,0,3169510
\SET\SET842-2.spass,0,15,6,15,6,1280989,0.0,0.0,0.0,0.0,0,14853156
\SWV\SWV265-2.spass,0,5,2,5,2,229750,0.0,0.0,0.0,0.0,0,2460525
\SYN\SYN333-1.spass,0,9,6,9,6,1424287,0.0,0.0,0.0,0.0,0,9729200
\MGT\MGT036-2.spass,0,26,15,26,15,3039240,0.0,0.0,0.0,0.0,0,27865556
\MGT\MGT007-1.spass,0,49,27,49,27,79914764,0.0,0.0,0.0,0.0,0,1583653318
\SYN\SYN662-1.spass,0,14,7,14,7,2386311,0.0,0.0,0.0,0.0,0,11875893
\SYN\SYN675-1.spass,0,14,7,14,7,2631850,0.0,0.0,0.0,0.0,0,11834838
\SYN\SYN660-1.spass,0,14,7,14,7,2387495,0.0,0.0,0.0,0.0,0,9836180
\SWB\SWB019+2.spass,0,7,3,7,3,560556,0.0,0.0,0.0,0.0,0,5262516
\CSR\CSR052+1.spass,0,25,15,25,15,3679932,0.0,0.0,0.0,0.0,0,11174804
\SWV\SWV292-2.spass,0,34,18,34,18,6050058,0.0,0.0,0.0,0.0,0,29936061
\SWV\SWV290-2.spass,0,21,11,21,11,5381338,0.0,0.0,0.0,0.0,0,36489040
\SYN\SYN706-1.spass,0,18,8,18,8,2876995,0.0,0.0,0.0,0.0,0,19930136
\SYN\SYN719-1.spass,0,17,8,17,8,2855283,0.0,0.0,0.0,0.0,0,19273654
\PUZ\PUZ008-1.spass,0,5,2,5,2,416075,0.0,0.0,0.0,0.0,0,6309809
\SWV\SWV349-2.spass,0,3,1,3,1,106190,0.0,0.0,0.0,0.0,0,2580531
\SWV\SWV308-2.spass,0,40,21,40,21,12995821,0.0,0.0,0.0,0.0,0,91958034
\SYN\SYN731-1.spass,0,3,1,3,1,124349,0.0,0.0,0.0,0.0,0,1088742
\SWV\SWV331-2.spass,0,12,6,12,6,852282,0.0,0.0,0.0,0.0,0,7491713
\SET\SET852-2.spass,0,13,5,13,5,1502843,0.0,0.0,0.0,0.0,0,17769232
\SYN\SYN345-1.spass,0,20,7,20,7,2421444,0.0,0.0,0.0,0.0,0,18991007
\SET\SET826-2.spass,0,7,3,7,3,303173,0.0,0.0,0.0,0.0,0,4900523
\SET\SET824-2.spass,0,4,2,4,2,281068,0.0,0.0,0.0,0.0,0,3456499
\SYN\SYN343-1.spass,0,5,1,5,1,157114,0.0,0.0,0.0,0.0,0,4214829
\SWV\SWV247-2.spass,0,38,26,38,26,15840840,0.0,0.0,0.0,0.0,0,51129027
\PLA\PLA003-1.spass,0,15,7,15,7,1493763,0.0,0.0,0.0,0.0,0,30163047
\SYN\SYN687-1.spass,0,14,6,14,6,4796307,0.0,0.0,0.0,0.0,0,44003649
\SYN\SYN685-1.spass,0,14,7,14,7,2307754,0.0,0.0,0.0,0.0,0,11907473
\SYN\SYN657-1.spass,0,18,9,18,9,3206222,0.0,0.0,0.0,0.0,0,26168098
\SWV\SWV330-2.spass,0,3,1,3,1,647403,0.0,0.0,0.0,0.0,0,1680878
\LCL\LCL447-2.spass,0,7,3,7,3,560951,0.0,0.0,0.0,0.0,0,11167698
\SWV\SWV289-2.spass,0,18,8,18,8,4870917,0.0,0.0,0.0,0.0,0,26391531
\SWV\SWV287-2.spass,0,18,8,18,8,3925077,0.0,0.0,0.0,0.0,0,22434084
\SYN\SYN084-2.spass,0,40,22,40,22,5043425,0.0,0.0,0.0,0.0,0,20192255
\SWV\SWV246-2.spass,0,19,11,19,11,6917341,0.0,0.0,0.0,0.0,0,12349602
\COL\COL119-2.spass,0,5,2,5,2,345807,0.0,0.0,0.0,0.0,0,2970158
\SWV\SWV259-2.spass,0,9,4,9,4,1565215,0.0,0.0,0.0,0.0,0,5772148
\SWV\SWV244-2.spass,0,13,7,13,7,1698248,0.0,0.0,0.0,0.0,0,5704644
\SYN\SYN684-1.spass,0,14,7,14,7,3674406,0.0,0.0,0.0,0.0,0,7042479
\SYN\SYN682-1.spass,0,14,7,14,7,2381574,0.0,0.0,0.0,0.0,0,7714356
\SET\SET589+3.spass,0,11,5,11,5,937155,0.0,0.0,0.0,0.0,0,7968580
\SYN\SYN585-1.spass,0,13,6,13,6,1034266,0.0,0.0,0.0,0.0,0,18997718
\SYN\SYN583-1.spass,0,18,9,18,9,3944025,0.0,0.0,0.0,0.0,0,11567982
\SWV\SWV271-2.spass,0,18,9,18,9,1836413,0.0,0.0,0.0,0.0,0,10600431
\GRP\GRP003-1.spass,0,15,10,15,10,9649459,0.0,0.0,0.0,0.0,0,54800274
\SYN\SYN555-1.spass,0,11,5,11,5,1243487,0.0,0.0,0.0,0.0,0,11460607
\COL\COL101-2.spass,0,3,1,3,1,129481,0.0,0.0,0.0,0.0,0,3048714
\GRP\GRP031-2.spass,0,12,7,12,7,960051,0.0,0.0,0.0,0.0,0,26388768
\SYN\SYN582-1.spass,0,15,7,15,7,857414,0.0,0.0,0.0,0.0,0,4268121
\MGT\MGT036+2.spass,1,36,23,36,22,4371943,0.0,0.0,0.027777777777777776,2.287312529005982E-7,0,10718463
\RNG\RNG039-2.spass,0,36,20,36,20,2367757,0.0,0.0,0.0,0.0,0,8903762
\LAT\LAT273-2.spass,0,16,9,16,9,2260383,0.0,0.0,0.0,0.0,0,5305939
\SYN\SYN669-1.spass,0,14,7,14,7,1515870,0.0,0.0,0.0,0.0,0,3324255
\SYN\SYN667-1.spass,0,14,7,14,7,1181904,0.0,0.0,0.0,0.0,0,4296544
\SWV\SWV355-2.spass,0,15,8,15,8,1467315,0.0,0.0,0.0,0.0,0,4088506
\CSR\CSR046+1.spass,0,3,1,3,1,64346,0.0,0.0,0.0,0.0,0,939129
\SEU\SEU163+1.spass,0,5,2,5,2,108163,0.0,0.0,0.0,0.0,0,928865
\SWV\SWV312-2.spass,0,5,2,5,2,300411,0.0,0.0,0.0,0.0,0,2291964
\SET\SET833-2.spass,0,7,3,7,3,170141,0.0,0.0,0.0,0.0,0,1325991
\SWV\SWV310-2.spass,0,5,2,5,2,697932,0.0,0.0,0.0,0.0,0,4534188
\SET\SET846-2.spass,0,9,4,9,4,843597,0.0,0.0,0.0,0.0,0,4137061
\SYN\SYN339-1.spass,0,3,1,3,1,52897,0.0,0.0,0.0,0.0,0,716880
\LCL\LCL429-2.spass,0,17,9,17,9,3692564,0.0,0.0,0.0,0.0,0,17037746
\SWV\SWV011-1.spass,0,5,2,5,2,115664,0.0,0.0,0.0,0.0,0,1087557
\LAT\LAT272-2.spass,0,7,3,7,3,241197,0.0,0.0,0.0,0.0,0,1621270
\LAT\LAT270-2.spass,0,9,4,9,4,314622,0.0,0.0,0.0,0.0,0,1765357
\SYN\SYN666-1.spass,0,14,7,14,7,1524160,0.0,0.0,0.0,0.0,0,3596243
\SYN\SYN679-1.spass,0,14,7,14,7,1166904,0.0,0.0,0.0,0.0,0,3658220
\SYN\SYN664-1.spass,0,14,7,14,7,1166904,0.0,0.0,0.0,0.0,0,3433998
\CSR\CSR058+1.spass,0,5,2,5,2,233697,0.0,0.0,0.0,0.0,0,1018870
\SYN\SYN636-1.spass,0,23,14,23,14,4386943,0.0,0.0,0.0,0.0,0,14260230
\SYN\SYN621-1.spass,0,12,5,12,5,1170063,0.0,0.0,0.0,0.0,0,5820308
