length,numCompressedforpi,numCompressedfolu,numCompressedforpilu,numCompressedfolurpi,numCompressedNonUnique,numCompressedByAll,numNotCompressed,total,binDescription,tptpnumCompressedforpi,tptpnumCompressedfolu,tptpnumCompressedforpilu,tptpnumCompressedfolurpi,tptpnumCompressedNonUnique,tptpnumCompressedByAll,tptpnumNotCompressed,tptpTotal
0,0,0,0,0,0,0,0,0,1-19,0,0,0,0,40,5,246,291
1,0,0,0,0,8,0,6,14,20-71,0,0,0,0,6,5,6,17
2,0,0,0,0,23,2,15,40,72-90,0,0,0,0,0,0,0,0
3,0,0,0,0,55,2,31,88,91-109,0,0,0,0,0,0,0,0
4,0,0,0,0,89,5,82,176,110-128,0,0,0,0,0,0,0,0
5,0,0,0,0,140,7,161,308,129-147,0,0,0,0,0,0,0,0
6,0,0,0,0,178,13,222,413,148-166,0,0,0,0,0,0,0,0
7,0,0,0,0,155,13,242,410,167-185,0,0,0,0,0,0,0,0
8,0,0,0,0,121,14,218,353,186-204,0,0,0,0,0,0,0,0
9,0,0,0,0,69,7,144,220,205-223,0,0,0,0,0,0,0,0
10,0,0,0,0,43,6,81,130,224-242,0,0,0,0,0,0,0,0
11,0,0,0,0,17,2,55,74,243-261,0,0,0,0,0,0,0,0
12,0,0,0,0,13,2,23,38,262-288,0,0,0,0,0,0,0,0
13,0,0,0,0,8,1,7,16,289-368,0,0,0,0,0,0,0,0
