bin,luCompResRatio,rpiCompResRatio,lurpiCompResRatio,rpiluCompResRatio,binDescription
7,0.0,0.10294117647058823,0.10294117647058823,0.10294117647058823,263-278
12,0.0,0.0,0.0,0.0,343-358
8,0.0,0.0,0.0,0.0,279-294
14,0.0,0.0,0.0,0.0,375-390
14,0.0,0.0,0.0,0.0,375-390
14,0.0,0.1377551020408163,0.9897959183673469,0.1377551020408163,375-390
11,0.0,0.11976047904191617,0.11976047904191617,0.11976047904191617,327-342
11,0.0,0.0,0.0,0.0,327-342
7,0.9710144927536232,0.0,0.9710144927536232,0.9710144927536232,263-278
1,0.0,0.0,0.0,0.0,150-176
9,0.0,0.0,0.0,0.0,295-310
19,0.0,0.0,0.0,0.0,457-472
10,0.005917159763313609,0.0,0.005917159763313609,0.14201183431952663,311-326
14,0.0,0.1708542713567839,0.1708542713567839,0.1708542713567839,375-390
14,0.0,0.0,0.0,0.0,375-390
10,0.0,0.0,0.0,0.0,311-326
12,0.0,0.15675675675675677,0.15675675675675677,0.15675675675675677,343-358
5,0.0,0.13008130081300814,0.13008130081300814,0.13008130081300814,230-246
16,0.0,0.14814814814814814,0.9444444444444444,0.14814814814814814,407-422
19,0.0,0.0,0.0,0.0,457-472
19,0.0,0.0,0.0,0.0,457-472
9,0.0,0.12418300653594772,0.12418300653594772,0.12418300653594772,295-310
17,0.0,0.15246636771300448,0.16143497757847533,0.15246636771300448,423-438
14,0.6161616161616161,0.0,0.6161616161616161,0.6161616161616161,375-390
12,0.0,0.12571428571428572,0.12571428571428572,0.12571428571428572,343-358
16,0.0,0.0,0.0,0.0,407-422
22,0.0,0.0,0.0,0.0,506-545
5,0.0,0.0,0.0,0.0,230-246
13,0.0,0.0,0.0,0.0,359-374
13,0.0,0.15425531914893617,0.16489361702127658,0.15425531914893617,359-374
8,0.0,0.08695652173913043,0.08695652173913043,0.08695652173913043,279-294
13,0.0,0.0,0.0,0.0,359-374
12,0.0,0.0,0.0,0.0,343-358
