length,numCompressedforpi,numCompressedfolu,numCompressedforpilu,numCompressedfolurpi,numCompressedNonUnique,numCompressedByAll,numNotCompressed,total,binDescription
0,0,0,0,0,17,1,15,33,90-165
1,0,0,0,0,33,1,14,48,166-196
2,0,0,0,0,40,2,27,69,197-221
3,0,0,0,0,69,2,61,132,222-246
4,0,0,0,0,70,6,81,157,247-270
5,0,0,0,0,114,8,130,252,271-294
6,0,0,0,0,114,8,143,265,295-318
7,0,0,0,0,140,9,173,322,319-342
8,0,0,0,0,90,8,171,269,343-366
9,0,0,0,0,83,8,145,236,367-390
10,0,0,0,0,52,7,117,176,391-414
11,0,0,0,0,43,6,81,130,415-438
12,0,0,0,0,34,4,58,96,439-464
13,0,0,0,0,16,1,42,59,465-488
14,0,0,0,0,11,1,33,45,489-523
15,0,0,0,0,15,3,13,31,524-699
